Gene Name,PROVEAN_score_cor,REVEL_score_cor,MutPred_score_cor,Polyphen2_HDIV_score_cor,EVE_score_cor,AlphaMissense_score_cor
PTEN_urn:mavedb:00000054-a,0.3799441058020317,0.4051021682926777,0.3949103924614503,0.2398302333160359,0.4356453389233214,0.46119044051849184
CBS_urn:mavedb:00000005-a,0.5039977479756957,0.5182523054961427,0.4036553135740386,0.529386638307662,0.5827913816149807,0.5492570205609875
p53_urn:mavedb:00000059-a,0.5058355626524266,0.552706790361947,0.5184275541622663,0.5005290200258622,0.6034287091114275,0.641793500234959
CCR5_urn:mavedb:00000047-c,0.24635804032984637,0.2402874658000751,0.26067437162302903,0.2298132672935874,nan,0.2868176415114196
NUDT15_urn:mavedb:00000055-0,0.5561798585176962,0.6328464189151357,0.4832094193101526,0.5457134150550623,nan,0.6790442654960809
TP53_(P72R)_urn:mavedb:00000068-c,0.42728004278715837,0.4766358094590309,0.4920530136231653,0.33291095978852847,0.4655449026441673,0.46168350637177435
SUMO1_urn:mavedb:00000001-b,0.43968540489132996,0.5610502012637543,0.5320436555122163,0.3654503103209117,nan,0.564853524727471
NUDT15_urn:mavedb:00000055-a,0.4604082229152621,0.47768885115835114,0.34721596638567975,0.42964228850754393,nan,0.4910214538945831
PTEN_urn:mavedb:00000013-a,0.4330172534089783,0.44177841332317636,0.39212907329871505,0.36517751344536326,0.34529427300827464,0.4423566274785389
CYP2C9_urn:mavedb:00000095-b,0.5115702087224844,0.5460012640468616,0.5225500275176808,0.6355103994171108,nan,0.6263812514942186
VKOR_urn:mavedb:00000078-a,0.35916458494900194,0.36168958110568755,0.32885985409116686,0.2515577387232512,0.4974580624628908,0.40312003066909036
VKOR_urn:mavedb:00000078-b,0.44522834812104345,0.4064416172471709,0.3510441367284357,0.3656145592165452,0.498866344810572,0.4891088590471164
CYP2C9_urn:mavedb:00000095-a,nan,nan,nan,nan,nan,nan
